Ticket_ID,Customer_ID,Account_ID,Loan_ID,Branch_Name,Issue_Category,Description,Date_Opened,Date_Closed,Priority,Status,Resolution_Remarks,Support_Agent,Channel,Customer_Rating
TKT00001,CUST00387,CUST00428,181,Chennai Main Branch,EMI Auto-debit Failed,Issue description for ticket 1,2025-09-28,2025-10-09,Critical,Closed,Resolution remarks for ticket 1,Agent 7,Phone,5
TKT00002,CUST00132,CUST00265,,Chennai Main Branch,Card Not Working,Issue description for ticket 2,2025-05-28,2025-06-25,Medium,Closed,Resolution remarks for ticket 2,Agent 19,Phone,2
TKT00003,CUST00153,CUST00359,130,Delhi Main Branch,Account Balance Mismatch,Issue description for ticket 3,2025-05-14,,Medium,In Progress,,Agent 2,In-person,
TKT00004,CUST00387,CUST00423,,Mumbai Main Branch,Online Banking Issue,Issue description for ticket 4,2025-08-17,2025-08-28,High,Closed,Resolution remarks for ticket 4,Agent 6,Chat,1
TKT00005,CUST00487,CUST00450,,Kolkata Main Branch,Online Banking Issue,Issue description for ticket 5,2025-08-27,2025-09-05,Critical,Resolved,Resolution remarks for ticket 5,Agent 11,Chat,1
TKT00006,CUST00254,CUST00065,185,Chennai Main Branch,ATM Card Blocked,Issue description for ticket 6,2025-03-29,2025-04-08,Critical,Resolved,Resolution remarks for ticket 6,Agent 13,Email,5
TKT00007,CUST00286,CUST00148,,Kolkata Main Branch,Card Not Working,Issue description for ticket 7,2025-01-16,2025-02-08,Critical,Resolved,Resolution remarks for ticket 7,Agent 8,Email,3
TKT00008,CUST00455,CUST00344,,Kolkata Main Branch,Loan Payment Delay,Issue description for ticket 8,2025-03-22,2025-04-17,Critical,Closed,Resolution remarks for ticket 8,Agent 4,Chat,4
TKT00009,CUST00162,CUST00407,182,Delhi Main Branch,Account Balance Mismatch,Issue description for ticket 9,2025-02-02,2025-02-07,Critical,Closed,Resolution remarks for ticket 9,Agent 17,Email,5
TKT00010,CUST00158,CUST00307,,Chennai Main Branch,Account Balance Mismatch,Issue description for ticket 10,2024-11-27,2024-12-01,High,Closed,Resolution remarks for ticket 10,Agent 11,Chat,1
TKT00011,CUST00234,CUST00223,10,Bangalore Main Branch,Card Not Working,Issue description for ticket 11,2025-02-23,2025-03-15,Medium,Resolved,Resolution remarks for ticket 11,Agent 16,Email,3
TKT00012,CUST00160,CUST00263,47,Mumbai Main Branch,Account Balance Mismatch,Issue description for ticket 12,2025-01-27,2025-02-08,Critical,Closed,Resolution remarks for ticket 12,Agent 8,Phone,2
TKT00013,CUST00171,CUST00125,205,Pune Main Branch,ATM Card Blocked,Issue description for ticket 13,2025-08-09,,Low,In Progress,,Agent 13,In-person,
TKT00014,CUST00194,CUST00008,76,Delhi Main Branch,ATM Card Blocked,Issue description for ticket 14,2025-11-09,2025-11-15,Low,Resolved,Resolution remarks for ticket 14,Agent 13,Phone,3
TKT00015,CUST00371,CUST00106,,Pune Main Branch,ATM Card Blocked,Issue description for ticket 15,2025-07-03,2025-07-31,Critical,Closed,Resolution remarks for ticket 15,Agent 5,In-person,2
TKT00016,CUST00414,CUST00351,110,Hyderabad Main Branch,Account Balance Mismatch,Issue description for ticket 16,2025-03-13,,Critical,In Progress,,Agent 1,Phone,
TKT00017,CUST00423,CUST00250,,Ahmedabad Main Branch,Loan Payment Delay,Issue description for ticket 17,2025-01-06,2025-02-01,High,Closed,Resolution remarks for ticket 17,Agent 17,Email,2
TKT00018,CUST00149,CUST00124,,Kolkata Main Branch,EMI Auto-debit Failed,Issue description for ticket 18,2025-07-14,2025-08-12,High,Closed,Resolution remarks for ticket 18,Agent 1,Phone,1
TKT00019,CUST00203,CUST00465,56,Pune Main Branch,Loan Payment Delay,Issue description for ticket 19,2025-02-23,,Medium,Open,,Agent 9,Email,
TKT00020,CUST00463,CUST00258,84,Delhi Main Branch,Online Banking Issue,Issue description for ticket 20,2025-05-01,,High,Open,,Agent 17,Email,
TKT00021,CUST00471,CUST00343,,Delhi Main Branch,EMI Auto-debit Failed,Issue description for ticket 21,2025-04-30,2025-05-15,Critical,Closed,Resolution remarks for ticket 21,Agent 18,In-person,1
TKT00022,CUST00200,CUST00136,,Pune Main Branch,Account Balance Mismatch,Issue description for ticket 22,2025-09-25,2025-10-15,Medium,Closed,Resolution remarks for ticket 22,Agent 4,In-person,4
TKT00023,CUST00206,CUST00254,247,Mumbai Main Branch,Loan Payment Delay,Issue description for ticket 23,2025-08-29,2025-09-19,Critical,Resolved,Resolution remarks for ticket 23,Agent 2,Email,2
TKT00024,CUST00496,CUST00401,,Ahmedabad Main Branch,ATM Card Blocked,Issue description for ticket 24,2025-11-09,2025-11-19,Medium,Resolved,Resolution remarks for ticket 24,Agent 10,Phone,3
TKT00025,CUST00242,CUST00218,,Bangalore Main Branch,Account Balance Mismatch,Issue description for ticket 25,2024-12-21,,Medium,Open,,Agent 17,In-person,
TKT00026,CUST00039,CUST00030,,Pune Main Branch,Account Balance Mismatch,Issue description for ticket 26,2025-05-12,2025-05-15,Medium,Closed,Resolution remarks for ticket 26,Agent 11,Phone,1
TKT00027,CUST00420,CUST00309,,Bangalore Main Branch,ATM Card Blocked,Issue description for ticket 27,2025-10-16,,High,In Progress,,Agent 20,Chat,
TKT00028,CUST00443,CUST00024,,Hyderabad Main Branch,Card Not Working,Issue description for ticket 28,2024-12-17,2025-01-09,Low,Closed,Resolution remarks for ticket 28,Agent 20,Chat,2
TKT00029,CUST00486,CUST00490,,Delhi Main Branch,Card Not Working,Issue description for ticket 29,2025-01-04,,Low,Open,,Agent 7,Email,
TKT00030,CUST00288,CUST00099,,Chennai Main Branch,ATM Card Blocked,Issue description for ticket 30,2025-04-21,2025-05-11,Low,Resolved,Resolution remarks for ticket 30,Agent 4,In-person,4
TKT00031,CUST00458,CUST00008,2,Pune Main Branch,Loan Payment Delay,Issue description for ticket 31,2025-06-02,2025-06-16,Critical,Resolved,Resolution remarks for ticket 31,Agent 10,Phone,1
TKT00032,CUST00282,CUST00487,232,Kolkata Main Branch,Account Balance Mismatch,Issue description for ticket 32,2024-12-06,,High,In Progress,,Agent 5,Email,
TKT00033,CUST00297,CUST00443,,Delhi Main Branch,Loan Payment Delay,Issue description for ticket 33,2025-08-26,,Critical,In Progress,,Agent 3,Chat,
TKT00034,CUST00408,CUST00062,92,Mumbai Main Branch,Loan Payment Delay,Issue description for ticket 34,2025-03-27,,Medium,In Progress,,Agent 17,Chat,
TKT00035,CUST00270,CUST00233,198,Delhi Main Branch,ATM Card Blocked,Issue description for ticket 35,2025-01-16,2025-01-18,Medium,Closed,Resolution remarks for ticket 35,Agent 3,In-person,1
TKT00036,CUST00367,CUST00305,202,Ahmedabad Main Branch,EMI Auto-debit Failed,Issue description for ticket 36,2025-07-23,2025-08-19,Critical,Resolved,Resolution remarks for ticket 36,Agent 4,Phone,4
TKT00037,CUST00288,CUST00395,44,Chennai Main Branch,Loan Payment Delay,Issue description for ticket 37,2025-08-11,,Low,In Progress,,Agent 20,Chat,
TKT00038,CUST00068,CUST00473,,Bangalore Main Branch,EMI Auto-debit Failed,Issue description for ticket 38,2025-05-24,2025-05-26,Critical,Resolved,Resolution remarks for ticket 38,Agent 13,Email,4
TKT00039,CUST00088,CUST00221,78,Bangalore Main Branch,Loan Payment Delay,Issue description for ticket 39,2025-06-02,,Low,Open,,Agent 13,In-person,
TKT00040,CUST00057,CUST00381,292,Kolkata Main Branch,Online Banking Issue,Issue description for ticket 40,2025-06-09,2025-06-17,High,Closed,Resolution remarks for ticket 40,Agent 20,In-person,5
TKT00041,CUST00133,CUST00128,,Hyderabad Main Branch,EMI Auto-debit Failed,Issue description for ticket 41,2025-05-11,,Medium,Open,,Agent 19,Chat,
TKT00042,CUST00456,CUST00422,,Ahmedabad Main Branch,Card Not Working,Issue description for ticket 42,2025-06-04,2025-06-08,High,Closed,Resolution remarks for ticket 42,Agent 9,Email,4
TKT00043,CUST00382,CUST00328,101,Kolkata Main Branch,Account Balance Mismatch,Issue description for ticket 43,2025-08-24,2025-09-03,Critical,Resolved,Resolution remarks for ticket 43,Agent 13,Email,3
TKT00044,CUST00412,CUST00322,297,Chennai Main Branch,ATM Card Blocked,Issue description for ticket 44,2024-12-10,2024-12-23,High,Closed,Resolution remarks for ticket 44,Agent 16,Email,1
TKT00045,CUST00232,CUST00334,202,Pune Main Branch,Online Banking Issue,Issue description for ticket 45,2024-12-02,2025-01-01,Medium,Closed,Resolution remarks for ticket 45,Agent 12,Email,2
TKT00046,CUST00047,CUST00058,,Chennai Main Branch,Loan Payment Delay,Issue description for ticket 46,2025-02-20,,High,Open,,Agent 18,In-person,
TKT00047,CUST00243,CUST00452,185,Ahmedabad Main Branch,EMI Auto-debit Failed,Issue description for ticket 47,2024-12-31,2025-01-05,Critical,Resolved,Resolution remarks for ticket 47,Agent 9,In-person,5
TKT00048,CUST00040,CUST00368,255,Chennai Main Branch,EMI Auto-debit Failed,Issue description for ticket 48,2025-05-20,,High,In Progress,,Agent 4,Chat,
TKT00049,CUST00491,CUST00438,52,Kolkata Main Branch,Loan Payment Delay,Issue description for ticket 49,2025-04-22,2025-04-23,Medium,Resolved,Resolution remarks for ticket 49,Agent 19,In-person,5
TKT00050,CUST00318,CUST00474,141,Ahmedabad Main Branch,Loan Payment Delay,Issue description for ticket 50,2025-04-19,,Critical,Open,,Agent 17,In-person,
TKT00051,CUST00066,CUST00218,251,Mumbai Main Branch,Account Balance Mismatch,Issue description for ticket 51,2025-10-09,,Low,Open,,Agent 12,Chat,
TKT00052,CUST00180,CUST00269,,Ahmedabad Main Branch,Account Balance Mismatch,Issue description for ticket 52,2025-07-12,,High,Open,,Agent 3,Chat,
TKT00053,CUST00001,CUST00245,100,Ahmedabad Main Branch,EMI Auto-debit Failed,Issue description for ticket 53,2025-08-23,2025-09-18,Medium,Closed,Resolution remarks for ticket 53,Agent 6,Email,5
TKT00054,CUST00097,CUST00120,113,Kolkata Main Branch,Online Banking Issue,Issue description for ticket 54,2025-01-23,2025-02-19,Critical,Closed,Resolution remarks for ticket 54,Agent 9,In-person,3
TKT00055,CUST00098,CUST00179,,Chennai Main Branch,ATM Card Blocked,Issue description for ticket 55,2025-01-18,2025-02-13,Critical,Resolved,Resolution remarks for ticket 55,Agent 1,Chat,1
TKT00056,CUST00182,CUST00231,,Pune Main Branch,ATM Card Blocked,Issue description for ticket 56,2025-07-24,,Low,Open,,Agent 5,Chat,
TKT00057,CUST00104,CUST00276,,Pune Main Branch,Card Not Working,Issue description for ticket 57,2025-01-22,2025-02-13,Critical,Closed,Resolution remarks for ticket 57,Agent 20,Phone,5
TKT00058,CUST00077,CUST00464,157,Kolkata Main Branch,Card Not Working,Issue description for ticket 58,2025-09-24,,Low,Open,,Agent 10,In-person,
TKT00059,CUST00178,CUST00231,,Hyderabad Main Branch,ATM Card Blocked,Issue description for ticket 59,2025-07-11,,Low,In Progress,,Agent 16,Email,
TKT00060,CUST00496,CUST00392,268,Mumbai Main Branch,Account Balance Mismatch,Issue description for ticket 60,2025-01-02,2025-01-17,Low,Resolved,Resolution remarks for ticket 60,Agent 18,In-person,2
TKT00061,CUST00340,CUST00364,44,Chennai Main Branch,ATM Card Blocked,Issue description for ticket 61,2025-06-28,,High,Open,,Agent 9,Email,
TKT00062,CUST00221,CUST00405,156,Pune Main Branch,Loan Payment Delay,Issue description for ticket 62,2025-07-03,2025-07-09,High,Resolved,Resolution remarks for ticket 62,Agent 2,Phone,3
TKT00063,CUST00075,CUST00411,83,Ahmedabad Main Branch,ATM Card Blocked,Issue description for ticket 63,2025-04-08,2025-05-04,Low,Resolved,Resolution remarks for ticket 63,Agent 6,Email,5
TKT00064,CUST00015,CUST00095,,Ahmedabad Main Branch,Card Not Working,Issue description for ticket 64,2024-11-23,2024-12-13,Medium,Closed,Resolution remarks for ticket 64,Agent 20,In-person,1
TKT00065,CUST00163,CUST00453,4,Ahmedabad Main Branch,Online Banking Issue,Issue description for ticket 65,2025-08-14,2025-09-07,High,Resolved,Resolution remarks for ticket 65,Agent 8,Phone,3
TKT00066,CUST00103,CUST00339,111,Ahmedabad Main Branch,ATM Card Blocked,Issue description for ticket 66,2024-12-09,2024-12-30,High,Resolved,Resolution remarks for ticket 66,Agent 10,Phone,2
TKT00067,CUST00312,CUST00472,286,Hyderabad Main Branch,Online Banking Issue,Issue description for ticket 67,2025-03-26,,Critical,Open,,Agent 8,Email,
TKT00068,CUST00149,CUST00251,276,Ahmedabad Main Branch,Online Banking Issue,Issue description for ticket 68,2025-06-05,2025-06-22,High,Closed,Resolution remarks for ticket 68,Agent 13,In-person,4
TKT00069,CUST00408,CUST00361,25,Hyderabad Main Branch,ATM Card Blocked,Issue description for ticket 69,2025-08-21,2025-09-15,Medium,Resolved,Resolution remarks for ticket 69,Agent 4,In-person,1
TKT00070,CUST00249,CUST00332,37,Bangalore Main Branch,Loan Payment Delay,Issue description for ticket 70,2025-10-25,2025-11-07,Medium,Closed,Resolution remarks for ticket 70,Agent 14,Email,1
TKT00071,CUST00486,CUST00161,180,Pune Main Branch,ATM Card Blocked,Issue description for ticket 71,2025-02-13,,Medium,Open,,Agent 19,Email,
TKT00072,CUST00379,CUST00021,156,Kolkata Main Branch,ATM Card Blocked,Issue description for ticket 72,2025-01-18,,Critical,Open,,Agent 4,Phone,
TKT00073,CUST00004,CUST00087,,Kolkata Main Branch,ATM Card Blocked,Issue description for ticket 73,2025-01-10,,Low,Open,,Agent 15,Phone,
TKT00074,CUST00058,CUST00119,,Mumbai Main Branch,Card Not Working,Issue description for ticket 74,2025-03-08,2025-04-02,Critical,Closed,Resolution remarks for ticket 74,Agent 9,Phone,5
TKT00075,CUST00409,CUST00256,9,Kolkata Main Branch,EMI Auto-debit Failed,Issue description for ticket 75,2025-07-02,2025-07-05,Low,Closed,Resolution remarks for ticket 75,Agent 7,In-person,1
TKT00076,CUST00045,CUST00479,,Bangalore Main Branch,ATM Card Blocked,Issue description for ticket 76,2024-11-16,,High,Open,,Agent 3,Phone,
TKT00077,CUST00382,CUST00066,,Pune Main Branch,Loan Payment Delay,Issue description for ticket 77,2025-06-25,,High,In Progress,,Agent 4,Chat,
TKT00078,CUST00314,CUST00189,251,Kolkata Main Branch,Online Banking Issue,Issue description for ticket 78,2024-12-07,2025-01-02,Low,Resolved,Resolution remarks for ticket 78,Agent 6,Email,5
TKT00079,CUST00088,CUST00156,,Bangalore Main Branch,Loan Payment Delay,Issue description for ticket 79,2025-01-11,2025-02-04,Medium,Closed,Resolution remarks for ticket 79,Agent 6,Chat,5
TKT00080,CUST00253,CUST00091,235,Hyderabad Main Branch,Online Banking Issue,Issue description for ticket 80,2025-01-22,2025-01-31,High,Closed,Resolution remarks for ticket 80,Agent 3,Chat,4
TKT00081,CUST00447,CUST00203,,Chennai Main Branch,Account Balance Mismatch,Issue description for ticket 81,2025-03-28,2025-04-13,Critical,Resolved,Resolution remarks for ticket 81,Agent 19,Email,3
TKT00082,CUST00421,CUST00197,182,Kolkata Main Branch,Online Banking Issue,Issue description for ticket 82,2025-01-27,2025-01-30,Low,Closed,Resolution remarks for ticket 82,Agent 6,In-person,4
TKT00083,CUST00129,CUST00434,35,Chennai Main Branch,ATM Card Blocked,Issue description for ticket 83,2025-04-22,2025-04-28,Critical,Closed,Resolution remarks for ticket 83,Agent 13,Phone,3
TKT00084,CUST00281,CUST00204,59,Mumbai Main Branch,Online Banking Issue,Issue description for ticket 84,2025-07-20,2025-08-02,High,Closed,Resolution remarks for ticket 84,Agent 13,In-person,4
TKT00085,CUST00384,CUST00298,59,Pune Main Branch,EMI Auto-debit Failed,Issue description for ticket 85,2024-12-28,,Low,Open,,Agent 4,Email,
TKT00086,CUST00449,CUST00461,,Chennai Main Branch,Account Balance Mismatch,Issue description for ticket 86,2025-07-22,,Medium,In Progress,,Agent 17,Chat,
TKT00087,CUST00217,CUST00485,,Chennai Main Branch,Online Banking Issue,Issue description for ticket 87,2025-09-01,2025-09-07,Low,Closed,Resolution remarks for ticket 87,Agent 15,In-person,5
TKT00088,CUST00111,CUST00373,282,Pune Main Branch,Loan Payment Delay,Issue description for ticket 88,2025-07-21,,High,In Progress,,Agent 3,Phone,
TKT00089,CUST00065,CUST00311,,Pune Main Branch,Loan Payment Delay,Issue description for ticket 89,2025-06-02,,Medium,In Progress,,Agent 17,Email,
TKT00090,CUST00361,CUST00313,,Delhi Main Branch,Account Balance Mismatch,Issue description for ticket 90,2025-08-08,2025-08-15,High,Resolved,Resolution remarks for ticket 90,Agent 10,Phone,1
TKT00091,CUST00451,CUST00256,,Delhi Main Branch,ATM Card Blocked,Issue description for ticket 91,2025-08-29,2025-09-08,High,Resolved,Resolution remarks for ticket 91,Agent 15,In-person,1
TKT00092,CUST00451,CUST00410,,Bangalore Main Branch,Card Not Working,Issue description for ticket 92,2025-04-23,2025-04-27,Low,Resolved,Resolution remarks for ticket 92,Agent 5,Email,2
TKT00093,CUST00347,CUST00135,,Delhi Main Branch,EMI Auto-debit Failed,Issue description for ticket 93,2025-06-07,,Critical,In Progress,,Agent 9,In-person,
TKT00094,CUST00497,CUST00352,,Ahmedabad Main Branch,Loan Payment Delay,Issue description for ticket 94,2025-04-25,,Medium,Open,,Agent 11,Chat,
TKT00095,CUST00348,CUST00030,147,Chennai Main Branch,Online Banking Issue,Issue description for ticket 95,2025-09-02,2025-09-18,Critical,Closed,Resolution remarks for ticket 95,Agent 11,Email,2
TKT00096,CUST00028,CUST00424,,Chennai Main Branch,EMI Auto-debit Failed,Issue description for ticket 96,2025-07-29,,High,Open,,Agent 9,Email,
TKT00097,CUST00075,CUST00391,108,Pune Main Branch,Account Balance Mismatch,Issue description for ticket 97,2025-02-11,2025-03-03,Low,Resolved,Resolution remarks for ticket 97,Agent 20,Phone,3
TKT00098,CUST00284,CUST00372,253,Kolkata Main Branch,Account Balance Mismatch,Issue description for ticket 98,2025-11-07,2025-11-25,Critical,Closed,Resolution remarks for ticket 98,Agent 3,Phone,3
TKT00099,CUST00173,CUST00010,225,Mumbai Main Branch,Account Balance Mismatch,Issue description for ticket 99,2025-08-07,,High,Open,,Agent 18,In-person,
TKT00100,CUST00346,CUST00255,,Ahmedabad Main Branch,Card Not Working,Issue description for ticket 100,2025-06-23,,Low,In Progress,,Agent 3,Email,
TKT00101,CUST00389,CUST00271,,Hyderabad Main Branch,Online Banking Issue,Issue description for ticket 101,2025-01-13,2025-01-27,High,Closed,Resolution remarks for ticket 101,Agent 16,In-person,1
TKT00102,CUST00042,CUST00101,,Kolkata Main Branch,Account Balance Mismatch,Issue description for ticket 102,2025-01-11,,Medium,Open,,Agent 4,Phone,
TKT00103,CUST00077,CUST00349,,Kolkata Main Branch,ATM Card Blocked,Issue description for ticket 103,2025-08-10,2025-09-07,Medium,Resolved,Resolution remarks for ticket 103,Agent 10,In-person,4
TKT00104,CUST00145,CUST00451,,Chennai Main Branch,Online Banking Issue,Issue description for ticket 104,2025-02-02,2025-02-26,High,Resolved,Resolution remarks for ticket 104,Agent 7,Email,2
TKT00105,CUST00130,CUST00394,,Pune Main Branch,Account Balance Mismatch,Issue description for ticket 105,2025-06-24,2025-07-18,Low,Resolved,Resolution remarks for ticket 105,Agent 7,Phone,2
TKT00106,CUST00381,CUST00277,,Mumbai Main Branch,Account Balance Mismatch,Issue description for ticket 106,2024-11-16,2024-12-13,Low,Resolved,Resolution remarks for ticket 106,Agent 17,In-person,2
TKT00107,CUST00481,CUST00229,164,Bangalore Main Branch,Account Balance Mismatch,Issue description for ticket 107,2025-08-26,2025-09-23,Medium,Closed,Resolution remarks for ticket 107,Agent 5,Phone,1
TKT00108,CUST00479,CUST00275,,Pune Main Branch,Online Banking Issue,Issue description for ticket 108,2025-01-12,2025-01-30,Critical,Closed,Resolution remarks for ticket 108,Agent 18,Chat,5
TKT00109,CUST00122,CUST00442,253,Pune Main Branch,Account Balance Mismatch,Issue description for ticket 109,2025-04-06,,Medium,Open,,Agent 1,Phone,
TKT00110,CUST00139,CUST00267,,Delhi Main Branch,Card Not Working,Issue description for ticket 110,2024-12-08,2024-12-10,Low,Closed,Resolution remarks for ticket 110,Agent 19,Chat,2
TKT00111,CUST00144,CUST00268,,Chennai Main Branch,EMI Auto-debit Failed,Issue description for ticket 111,2025-07-09,,Medium,Open,,Agent 12,Chat,
TKT00112,CUST00462,CUST00288,,Bangalore Main Branch,Loan Payment Delay,Issue description for ticket 112,2025-04-12,2025-05-09,Medium,Resolved,Resolution remarks for ticket 112,Agent 11,In-person,3
TKT00113,CUST00360,CUST00204,,Chennai Main Branch,EMI Auto-debit Failed,Issue description for ticket 113,2025-06-18,,Low,Open,,Agent 15,In-person,
TKT00114,CUST00319,CUST00392,189,Kolkata Main Branch,Online Banking Issue,Issue description for ticket 114,2025-07-04,2025-07-24,Medium,Closed,Resolution remarks for ticket 114,Agent 16,In-person,3
TKT00115,CUST00088,CUST00259,262,Kolkata Main Branch,Loan Payment Delay,Issue description for ticket 115,2025-07-19,2025-08-05,Low,Resolved,Resolution remarks for ticket 115,Agent 14,Phone,5
TKT00116,CUST00206,CUST00205,,Bangalore Main Branch,Loan Payment Delay,Issue description for ticket 116,2025-10-04,,High,Open,,Agent 19,Phone,
TKT00117,CUST00458,CUST00113,208,Chennai Main Branch,Online Banking Issue,Issue description for ticket 117,2025-08-03,,Medium,Open,,Agent 8,Phone,
TKT00118,CUST00250,CUST00227,,Delhi Main Branch,Loan Payment Delay,Issue description for ticket 118,2025-04-28,,Critical,Open,,Agent 20,Email,
TKT00119,CUST00210,CUST00203,213,Kolkata Main Branch,Online Banking Issue,Issue description for ticket 119,2025-03-21,2025-03-23,Critical,Closed,Resolution remarks for ticket 119,Agent 6,Chat,3
TKT00120,CUST00446,CUST00099,225,Ahmedabad Main Branch,EMI Auto-debit Failed,Issue description for ticket 120,2024-12-09,,Medium,In Progress,,Agent 6,Chat,
TKT00121,CUST00353,CUST00108,78,Chennai Main Branch,Account Balance Mismatch,Issue description for ticket 121,2025-03-09,2025-03-16,Low,Resolved,Resolution remarks for ticket 121,Agent 3,Email,4
TKT00122,CUST00499,CUST00240,,Mumbai Main Branch,Account Balance Mismatch,Issue description for ticket 122,2025-05-18,2025-06-12,High,Closed,Resolution remarks for ticket 122,Agent 20,Chat,3
TKT00123,CUST00057,CUST00230,,Pune Main Branch,Card Not Working,Issue description for ticket 123,2025-03-31,2025-04-17,High,Resolved,Resolution remarks for ticket 123,Agent 11,Chat,3
TKT00124,CUST00151,CUST00011,,Ahmedabad Main Branch,Loan Payment Delay,Issue description for ticket 124,2025-08-09,,Critical,Open,,Agent 1,Chat,
TKT00125,CUST00127,CUST00112,127,Delhi Main Branch,Account Balance Mismatch,Issue description for ticket 125,2025-10-07,2025-10-12,High,Closed,Resolution remarks for ticket 125,Agent 1,Phone,3
TKT00126,CUST00180,CUST00385,233,Pune Main Branch,EMI Auto-debit Failed,Issue description for ticket 126,2024-12-04,,Low,Open,,Agent 9,Email,
